Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
Dec-19-2014,88.06
Dec-22-2014,87.01
Dec-23-2014,88.72
Dec-24-2014,88.76
Dec-26-2014,88.90
Dec-29-2014,86.70
Dec-30-2014,85.68
Dec-31-2014,84.76
Jan-02-2015,85.98
Jan-05-2015,84.74
Jan-06-2015,83.36
Jan-07-2015,83.40
Jan-08-2015,86.45
Jan-09-2015,86.98
Jan-12-2015,86.77
Jan-13-2015,85.93
Jan-14-2015,85.51
Jan-15-2015,81.07
Jan-16-2015,83.19
Jan-20-2015,82.89
Jan-21-2015,82.46
Jan-22-2015,83.52
Jan-23-2015,83.13
Jan-26-2015,84.11
Jan-27-2015,81.30
Jan-28-2015,78.37
Jan-29-2015,80.50
Jan-30-2015,80.76
Feb-02-2015,82.05
Feb-03-2015,83.01
Feb-04-2015,84.21
Feb-05-2015,98.73
Feb-06-2015,97.41
Feb-09-2015,93.28
Feb-10-2015,95.49
Feb-11-2015,97.57
Feb-12-2015,98.50
Feb-13-2015,99.90
Feb-17-2015,98.45
Feb-18-2015,97.84
Feb-19-2015,99.32
Feb-20-2015,99.28
Feb-23-2015,96.85
Feb-24-2015,96.22
Feb-25-2015,97.27
Feb-26-2015,97.42
Feb-27-2015,94.01
Mar-02-2015,96.85
Mar-03-2015,94.25
Mar-04-2015,92.11
Mar-05-2015,95.50
Mar-06-2015,92.34
Mar-09-2015,92.67
Mar-10-2015,92.04
Mar-11-2015,93.16
Mar-12-2015,94.76
Mar-13-2015,92.66
Mar-16-2015,94.47
Mar-17-2015,95.02
Mar-18-2015,97.88
Mar-19-2015,97.45
Mar-20-2015,93.96
Mar-23-2015,94.08
Mar-24-2015,93.68
Mar-25-2015,90.73
Mar-26-2015,92.79
Mar-27-2015,93.24
Mar-30-2015,93.09
Mar-31-2015,92.52
Apr-01-2015,90.97
Apr-02-2015,91.27
Apr-06-2015,93.04
Apr-07-2015,94.95
Apr-08-2015,97.23
Apr-09-2015,96.76
Apr-10-2015,97.22
Apr-13-2015,95.79
Apr-14-2015,95.50
Apr-15-2015,96.05
Apr-16-2015,101.16
Apr-17-2015,95.07
Apr-20-2015,95.31
Apr-21-2015,98.85
Apr-22-2015,98.72
Apr-23-2015,102.20
Apr-24-2015,102.40
Apr-27-2015,99.91
Apr-28-2015,99.58
Apr-29-2015,100.35
Apr-30-2015,97.84
May-01-2015,97.77
May-04-2015,99.14
May-05-2015,97.27
May-06-2015,96.75
May-07-2015,97.43
May-08-2015,110.69
May-11-2015,112.00
May-12-2015,110.15
May-13-2015,110.84
May-14-2015,112.66
May-15-2015,110.09
May-18-2015,111.91
May-19-2015,114.30
May-20-2015,113.33
May-21-2015,112.96
May-22-2015,113.36
May-26-2015,112.61
May-27-2015,114.86
May-28-2015,113.23
May-29-2015,113.21
Jun-01-2015,112.90
Jun-02-2015,112.90
Jun-03-2015,114.87
Jun-04-2015,113.51
Jun-05-2015,115.60
Jun-08-2015,113.64
Jun-09-2015,116.27
Jun-10-2015,117.73
Jun-11-2015,119.00
Jun-12-2015,119.08
Jun-15-2015,120.75
Jun-16-2015,120.60
Jun-17-2015,120.75
Jun-18-2015,122.54
Jun-19-2015,122.81
Jun-22-2015,121.54
Jun-23-2015,122.16
Jun-24-2015,119.68
Jun-25-2015,120.56
Jun-26-2015,116.86
Jun-29-2015,113.81
Jun-30-2015,115.30
Jul-01-2015,116.98
Jul-02-2015,117.11
Jul-06-2015,116.81
Jul-07-2015,117.51
Jul-08-2015,116.26
Jul-09-2015,119.45
Jul-10-2015,121.01
Jul-13-2015,120.64
Jul-14-2015,121.78
Jul-15-2015,121.48
Jul-16-2015,125.09
Jul-17-2015,126.34
Jul-20-2015,128.15
Jul-21-2015,127.57
Jul-22-2015,128.74
Jul-23-2015,127.27
Jul-24-2015,127.44
Jul-27-2015,125.00
Jul-28-2015,127.07
Jul-29-2015,113.49
Jul-30-2015,106.84
Jul-31-2015,104.74
Aug-03-2015,101.34
Aug-04-2015,101.18
Aug-05-2015,103.94
Aug-06-2015,99.25
Aug-07-2015,101.77
Aug-10-2015,103.90
