Region,Year of Period End,Median Sale Price
Burien,2013,234554.1667
Burien,2012,206992.7273
Mill Creek,2021,708500
Mill Creek,2020,630772.2917
Mill Creek,2018,582267.8333
Mill Creek,2019,574516.6667
Mill Creek,2017,539449.2083
Mill Creek,2016,457125
Mill Creek,2015,387974.1667
Mill Creek,2014,377029.5
Mill Creek,2013,371249.375
Mill Creek,2012,329242.9545
Tukwila,2020,446250
Tukwila,2021,429987.5
Tukwila,2019,412941.6667
Tukwila,2018,374170.8333
Tukwila,2017,328344.4167
Tukwila,2016,294042.5
Tukwila,2015,253710.4167
Tukwila,2014,200048.7083
Tukwila,2013,193797.9167
Tukwila,2012,147987
Des Moines,2021,527100
Des Moines,2020,451941.6667
Des Moines,2019,411614.5833
Des Moines,2018,401708.3333
Des Moines,2017,358643.75
Des Moines,2016,314869.2917
Des Moines,2015,272931.25
Des Moines,2014,245777.0833
Des Moines,2013,210237.5
Des Moines,2012,173075.3636
DuPont,2021,446550
DuPont,2020,399670.8333
DuPont,2019,356070.8333
DuPont,2018,331240.2083
DuPont,2016,300375
DuPont,2017,300041.6667
DuPont,2013,284075.6667
DuPont,2015,281139.5833
DuPont,2012,265952.2727
DuPont,2014,265104.1667
Mukilteo,2021,702500
Mukilteo,2020,638491.6667
Mukilteo,2019,615268.75
Mukilteo,2018,573100
Mukilteo,2017,521132.0833
Mukilteo,2016,462096.875
Mukilteo,2015,445217.7083
Mukilteo,2013,425708.3333
Mukilteo,2014,418843.7917
Mukilteo,2012,370129.5455
Mercer Island,2021,1791250
Mercer Island,2018,1590662.5
Mercer Island,2020,1550958.333
Mercer Island,2019,1505800
Mercer Island,2017,1431220.25
Mercer Island,2016,1211541.667
Mercer Island,2015,1090904.167
Mercer Island,2014,1028787.5
Mercer Island,2013,918608.3333
Mercer Island,2012,805854.5455
Lakewood,2021,410375
Lakewood,2020,367149.2917
Lakewood,2019,328531.25
Lakewood,2018,301937.5
Lakewood,2017,276790.625
Lakewood,2016,239190.8333
Lakewood,2015,219896.0417
Lakewood,2014,199725
Lakewood,2013,198439.5833
Lakewood,2012,181881.8182
Olympia,2021,427500
Olympia,2020,387067.375
Olympia,2019,347446.375
Olympia,2018,322737.7917
Olympia,2017,294883.3333
Olympia,2016,276535.8333
Olympia,2015,257436.0417
Olympia,2014,240181.25
Olympia,2013,239657.875
Olympia,2012,232940.9091
Bainbridge Island,2020,904312.5
Bainbridge Island,2021,857225
Bainbridge Island,2018,850275
Bainbridge Island,2019,832791.6667
Bainbridge Island,2017,755205.0833
Bainbridge Island,2016,655125
Bainbridge Island,2015,620222.0417
Bainbridge Island,2014,556063.1667
Bainbridge Island,2013,482683.75
Bainbridge Island,2012,464118.1818
