Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
Feb-06-2001,15.81
Feb-07-2001,15.00
Feb-08-2001,14.38
Feb-09-2001,13.38
Feb-12-2001,14.50
Feb-13-2001,13.75
Feb-14-2001,14.44
Feb-15-2001,14.50
Feb-16-2001,13.69
Feb-20-2001,12.50
Feb-21-2001,11.94
Feb-22-2001,11.94
Feb-23-2001,11.81
Feb-26-2001,11.94
Feb-27-2001,11.75
Feb-28-2001,10.19
Mar-01-2001,10.44
Mar-02-2001,10.00
Mar-05-2001,12.63
Mar-06-2001,11.88
Mar-07-2001,12.25
Mar-08-2001,11.69
Mar-09-2001,12.25
Mar-12-2001,10.63
Mar-13-2001,11.00
Mar-14-2001,10.63
Mar-15-2001,10.88
Mar-16-2001,11.00
Mar-19-2001,10.50
Mar-20-2001,10.25
Mar-21-2001,10.00
Mar-22-2001,10.19
Mar-23-2001,10.19
Mar-26-2001,10.94
Mar-27-2001,11.64
Mar-28-2001,10.80
Mar-29-2001,10.00
Mar-30-2001,10.23
Apr-02-2001,9.10
Apr-03-2001,8.63
Apr-04-2001,8.40
Apr-05-2001,9.12
Apr-06-2001,8.37
Apr-09-2001,11.18
Apr-10-2001,12.01
Apr-11-2001,13.32
Apr-12-2001,14.67
Apr-16-2001,14.03
Apr-17-2001,14.74
Apr-18-2001,16.54
Apr-19-2001,15.99
Apr-20-2001,15.78
Apr-23-2001,16.20
Apr-24-2001,15.68
Apr-25-2001,16.09
Apr-26-2001,15.43
Apr-27-2001,15.27
Apr-30-2001,15.78
May-01-2001,16.89
May-02-2001,17.11
May-03-2001,16.75
May-04-2001,17.56
May-07-2001,16.92
May-08-2001,16.18
May-09-2001,15.01
May-10-2001,14.62
May-11-2001,14.68
May-14-2001,13.33
May-15-2001,13.54
May-16-2001,14.13
May-17-2001,14.78
May-18-2001,14.72
May-21-2001,16.38
May-22-2001,16.25
May-23-2001,15.60
May-24-2001,16.75
May-25-2001,17.09
May-29-2001,17.22
May-30-2001,15.66
May-31-2001,16.69
Jun-01-2001,16.95
Jun-04-2001,16.91
Jun-05-2001,16.44
Jun-06-2001,15.99
Jun-07-2001,16.13
Jun-08-2001,15.70
Jun-11-2001,14.86
Jun-12-2001,14.64
Jun-13-2001,14.12
Jun-14-2001,13.29
Jun-15-2001,12.49
Jun-18-2001,11.83
Jun-19-2001,11.36
Jun-20-2001,12.53
Jun-21-2001,13.08
Jun-22-2001,12.40
Jun-25-2001,12.81
Jun-26-2001,13.25
Jun-27-2001,14.04
Jun-28-2001,14.36
Jun-29-2001,14.15
Jul-02-2001,14.53
Jul-03-2001,14.13
Jul-05-2001,15.27
Jul-06-2001,15.27
Jul-09-2001,15.81
Jul-10-2001,15.61
Jul-11-2001,15.34
Jul-12-2001,16.49
Jul-13-2001,16.98
Jul-16-2001,16.01
Jul-17-2001,16.35
Jul-18-2001,15.96
Jul-19-2001,16.49
Jul-20-2001,16.98
Jul-23-2001,16.03
